[2021-02-20 16:25:00,352 | base.py, _execute_context, line 1234 | INFO] SELECT ne_tm_transformer.id AS ne_tm_transformer_id, ne_tm_transformer.created_at AS ne_tm_transformer_created_at, ne_tm_transformer.updated_at AS ne_tm_transformer_updated_at, ne_tm_transformer.name AS ne_tm_transformer_name, ne_tm_transformer.courts_no AS ne_tm_transformer_courts_no, ne_tm_transformer.trans_type AS ne_tm_transformer_trans_type, ne_tm_transformer.is_deleted AS ne_tm_transformer_is_deleted, ne_tm_transformer.power_line_id AS ne_tm_transformer_power_line_id, ne_tm_transformer.enabled_line_loss AS ne_tm_transformer_enabled_line_loss, ne_tm_transformer.is_abnormal_elec AS ne_tm_transformer_is_abnormal_elec, ne_tm_transformer.is_abnormal_topo AS ne_tm_transformer_is_abnormal_topo, ne_tm_transformer.is_high_line_loss AS ne_tm_transformer_is_high_line_loss, ne_tm_transformer.inst_addr AS ne_tm_transformer_inst_addr, ne_tm_transformer.v_nb_tg_no AS ne_tm_transformer_v_nb_tg_no, ne_tm_transformer.run_day AS ne_tm_transformer_run_day 
FROM ne_tm_transformer 
 LIMIT %(param_1)s
[2021-02-20 16:25:00,353 | base.py, _execute_context, line 1239 | INFO] {'param_1': 1}
[2021-02-20 16:25:00,360 | base.py, _rollback_impl, line 747 | INFO] ROLLBACK
[2021-02-20 16:26:00,058 | base.py, _begin_impl, line 727 | INFO] BEGIN (implicit)
[2021-02-20 16:26:00,063 | base.py, _execute_context, line 1234 | INFO] SELECT ne_tm_terminal_user.id AS ne_tm_terminal_user_id, ne_tm_terminal_user.created_at AS ne_tm_terminal_user_created_at, ne_tm_terminal_user.updated_at AS ne_tm_terminal_user_updated_at, ne_tm_terminal_user.name AS ne_tm_terminal_user_name, ne_tm_terminal_user.user_no AS ne_tm_terminal_user_user_no, ne_tm_terminal_user.user_type AS ne_tm_terminal_user_user_type, ne_tm_terminal_user.is_deleted AS ne_tm_terminal_user_is_deleted, ne_tm_terminal_user.transformer_id AS ne_tm_terminal_user_transformer_id, ne_tm_terminal_user.is_abnormal_elec AS ne_tm_terminal_user_is_abnormal_elec, ne_tm_terminal_user.is_abnormal_topo AS ne_tm_terminal_user_is_abnormal_topo, ne_tm_terminal_user.is_high_line_loss AS ne_tm_terminal_user_is_high_line_loss 
FROM ne_tm_terminal_user 
 LIMIT %(param_1)s
[2021-02-20 16:26:00,064 | base.py, _execute_context, line 1239 | INFO] {'param_1': 1}
